56,Kasey,Escobar,Nov.,"22,",1966,(476),842-6366,76 Surrey St. ,Sidney,45365, OH
57,Allisson,Bowers,Aug.,"12,",1904,(626),640-3977,3 Blue Spring Lane ,Los Angeles,90008, CA
58,Rudy,Pacheco,Sep.,"27,",1910,(978),966-8832,9969 Joy Ridge Ave. ,Mount Laurel,8054, NJ
59,Madelynn,Osborn,Jun.,"1,",1971,(385),923-4272,347 W. Santa Clara Court ,Tuckerton,8087, NJ
60,Marlene,Hanna,Apr.,"16,",1988,(492),384-1316,1 South Lawrence Ave. ,Corpus Christi,78418, TX
61,Kylan,Oconnell,Sep.,"8,",1902,(331),753-9791,825C Ketch Harbour St. ,Billerica,1821, MA
62,Aaden,Deleon,Oct.,"24,",1916,(936),706-1081,11 Westminster St. ,Key West,33040, FL
63,Katherine,Leon,Jan.,"15,",1940,(807),620-2396,7582 Cobblestone Ave. ,Zionsville,46077, IN
64,Sydney,Stuart,Apr.,"13,",2003,(251),660-4634,96 Iroquois Street ,Evansville,47711, IN
65,Rachel,Moreno,Mar.,"23,",2008,(453),225-0317,9571 Hanover Street ,Woodside,11377, NY
66,Colin,Wade,Mar.,"9,",1976,(921),347-7121,753 Manor Rd. ,Atlantic City,8401, NJ
67,Dulce,Delgado,May,"18,",1956,(926),232-3214,493 Cardinal Street ,New Orleans,70115, LA
68,Maddison,Lane,Jun.,"16,",2010,(985),526-0559,55 SW. John Dr. ,Detroit,48205, MI
69,Kelly,Carroll,May,"23,",1921,(915),983-5132,9091 W. Heritage Ave. ,Roanoke,24012, VA
70,Demarion,Carr,Jun.,"11,",1979,(885),961-1533,7237 Shub Farm Ave. ,West Orange,7052, NJ
71,Ayla,Horton,Jan.,"8,",1907,(889),677-0796,127 S. Hill Drive ,Williamsburg,23185, VA
72,Jayla,Williamson,Jun.,"1,",1963,(939),588-4405,784 Jennings Road ,Halethorpe,21227, MD
73,Lilly,Meyers,Jan.,"25,",2009,(391),985-6569,9785 Forest St. ,Westminster,21157, MD
74,Jaylen,Cole,Jun.,"18,",1969,(649),894-1593,9675 Buckingham Ave. ,Long Beach,11561, NY
75,Reid,Maynard,Mar.,"9,",1945,(266),888-5040,96 Ridgeview Street ,Point Pleasant Beach,8742, NJ
76,Mike,Hoffman,Sep.,"24,",1961,(803),350-9331,848 Hilltop Avenue ,Marlborough,1752, MA
77,Chad,Ward,Aug.,"21,",1963,(451),971-2999,12 Nicolls Dr. ,Westlake,44145, OH
78,Talia,Norman,Nov.,"25,",1915,(561),895-5227,9710 West Lower River St. ,Sebastian,32958, FL
79,Mya,Johns,Aug.,"10,",1962,(844),345-8080,201 N. Riverview Ave. ,Hamtramck,48212, MI
80,Ethan,Bradford,Oct.,"16,",2006,(923),949-0932,67 Meadowbrook Road ,Superior,54880, WI
81,Erick,Willis,Sep.,"22,",1929,(891),326-3260,9144 Grandrose St. ,Stafford,22554, VA
82,Marshall,Perkins,Apr.,"11,",1959,(888),946-8152,48 Rose Lane ,Hanover,17331, PA
83,Abigayle,Keller,Dec.,"12,",1917,(354),348-3710,8824 Pierce Rd. ,Taylors,29687, SC
84,Camryn,Nguyen,Oct.,"31,",1933,(440),432-9488,444 New St. ,Oxford,38655, MS
85,John,Cummings,Apr.,"11,",2010,(544),961-3161,9936 Summit St. ,Rockledge,32955, FL
86,Linda,King,Dec.,"11,",1995,(458),570-1884,7603 Hickory Street ,Spring Hill,34608, FL
87,Maximillian,Mann,Sep.,"25,",2002,(677),952-0964,8412 Oklahoma Ave. ,Yonkers,10701, NY
88,Curtis,Levy,Apr.,"12,",1902,(433),685-3506,92 Pineknoll Dr. ,Elkton,21921, MD
89,Andreas,Henderson,Dec.,"14,",1940,(533),559-7512,391 S. Lees Creek Lane ,Union City,7087, NJ
90,Mareli,David,Oct.,"3,",1985,(956),788-0574,39 Atlantic Drive ,New York,10002, NY
91,Russell,Mann,Sep.,"5,",1924,(372),729-5570,78 Meadowbrook Road ,Janesville,53546, WI
92,Taliyah,Acosta,Jul.,"3,",1907,(367),659-5542,8064 Second Court ,Fairfax,22030, VA
93,Vicente,Alvarez,Aug.,"3,",1985,(689),880-6855,86 North Third St. ,Helotes,78023, TX
94,Tanya,Mercer,Oct.,"1,",1916,(945),298-6316,8295 Cleveland Drive ,Norcross,30092, GA
95,Nola,Le,Aug.,"10,",1998,(845),474-1476,8423 West Wood Street ,New Philadelphia,44663, OH
96,Zechariah,Molina,Jun.,"6,",1960,(762),502-4452,44 Marsh Ave. ,Buffalo Grove,60089, IL
97,Ivy,Mendoza,Apr.,"2,",1937,(537),796-5312,65 Hilldale Lane ,Royal Oak,48067, MI
98,Saul,Thomas,Jun.,"8,",1919,(811),572-9120,55 South Canal Drive ,Palmetto,34221, FL
99,Micaela,Sheppard,Sep.,"21,",1957,(242),879-0171,570 Gates St. ,Findlay,45840, OH
100,Ali,Richard,May,"16,",2017,(270),259-7336,80 East Race Street ,Nanuet,10954, NY
101,Natalie,Porter,Apr.,"13,",1918,(926),391-7366,96 Riverside Dr. ,Reading,1867, MA
102,Xiomara,Spence,Apr.,"18,",1949,(780),387-4129,67 East High Ave. ,Schenectady,12302, NY
103,Patricia,Mcguire,Dec.,"1,",1964,(254),901-2120,50 Strawberry Street ,Little Falls,7424, NJ
104,Howard,Bond,Dec.,"11,",1989,(362),762-8205,154 Spring Street ,Shelbyville,37160, TN
105,Lilyana,Ashley,Jan.,"30,",2017,(662),556-9320,9025 Bay Street ,Spring Valley,10977, NY
106,Jerome,Tapia,Apr.,"7,",1902,(678),981-9646,89 Oakwood Lane ,Holland,49423, MI
107,Gavin,Hogan,Oct.,"1,",2006,(371),861-4342,892 Madison Ave. ,Riverdale,30274, GA
108,Janessa,Bullock,Jul.,"29,",1972,(925),515-3029,180 Wentworth Street ,Cantonment,32533, FL
109,Amaris,Jenkins,Feb.,"16,",2008,(677),599-6210,9827 East Second St. ,Campbell,95008, CA
110,Isabela,Hampton,Nov.,"21,",2012,(898),360-2140,425 Bradford Avenue ,Taylor,48180, MI
111,Leilani,Oneill,Feb.,"14,",1903,(241),415-2470,852 Plymouth St. ,Stone Mountain,30083, GA
112,Brent,Lewis,Aug.,"12,",1987,(980),845-3338,9464 Nut Swamp Street ,Harvey,60426, IL
113,Denzel,Barrett,Sep.,"19,",1996,(389),841-1493,431 Brickyard St. ,Niagara Falls,14304, NY
114,Noel,Watson,Jul.,"6,",1905,(926),994-7602,218 Hillcrest St. ,Media,19063, PA
115,Mareli,Barnett,Feb.,"8,",1943,(376),593-6607,726 Randall Mill Road ,New Rochelle,10801, NY
116,Makhi,Knox,Mar.,"26,",1969,(575),922-6716,78 Jackson Circle ,Camp Hill,17011, PA
117,Leah,Salas,Dec.,"1,",1971,(244),927-2481,923 SW. Canterbury St. ,Beachwood,44122, OH
118,Lyla,Christensen,Aug.,"25,",1997,(942),580-6492,9814 Logan St. ,Saginaw,48601, MI
119,Maximo,Shaffer,Jun.,"21,",1952,(705),354-5098,8201 Poor House Dr. ,Wappingers Falls,12590, NY
120,Kaiya,Ayers,Dec.,"4,",1919,(748),416-7887,44 Greenrose St. ,Huntley,60142, IL
121,Helena,Morse,Aug.,"5,",1945,(743),631-4307,824 Bridle Lane ,Ankeny,50023, IA
122,Avery,Wu,Jun.,"28,",1991,(759),239-0577,8 Cherry Hill Ave. ,Oklahoma City,73112, OK
123,Zayne,Patterson,Sep.,"16,",1934,(676),937-7989,20 Victoria St. ,Levittown,11756, NY
124,Nancy,Fowler,Nov.,"15,",1949,(271),789-6374,502 Bow Ridge Ave. ,Fort Dodge,50501, IA
125,Areli,Montgomery,Jan.,"20,",1992,(318),264-2193,539 New Saddle Rd. ,Syosset,11791, NY
126,Karley,Duke,May,"17,",1940,(252),981-7763,441 Marlborough Street ,Osseo,55311, MN
127,Hugo,Gould,Apr.,"29,",1932,(410),695-3260,2 Center Ave. ,Dekalb,60115, IL
128,Frankie,Carr,Jan.,"5,",1927,(536),425-2629,213 Rockville Lane ,Daphne,36526, AL
129,Cecelia,Kaufman,Nov.,"12,",1967,(258),565-3196,7 Arcadia Ave. ,Merrick,11566, NY
130,Dominique,Stevenson,Mar.,"22,",1937,(578),733-8361,12 Virginia Court ,Danvers,1923, MA
131,Isaias,Sanford,Aug.,"15,",1911,(861),384-5260,8032 Lyme Ave. ,Cary,27511, NC
132,Everett,Shaffer,Mar.,"31,",1977,(947),611-7247,914 Applegate Rd. ,Adrian,49221, MI
133,Mila,Myers,Jul.,"19,",1985,(513),909-8185,8114 Surrey Street ,Galloway,43119, OH
134,Adriana,Hughes,Nov.,"21,",1976,(627),902-3136,8537 Amherst Street ,New Britain,6051, CT
135,Sage,Costa,Nov.,"20,",1950,(594),578-0484,66 Mayflower Drive ,Dyersburg,38024, TN
136,Tommy,Barr,Jul.,"31,",1912,(832),353-2049,715 Illinois St. ,Canfield,44406, OH
137,Brogan,Savage,Feb.,"26,",1991,(816),730-7478,34 Alderwood Ave. ,Passaic,7055, NJ
138,Dayami,Costa,Aug.,"14,",2003,(476),818-7431,9698 Greenrose Lane ,Burnsville,55337, MN
139,Gavin,Mcmahon,May,"20,",1951,(389),705-8802,450 Thomas Street ,Nazareth,18064, PA
140,Alayna,Stanley,Jul.,"27,",1955,(332),517-5953,713 Mechanic St. ,Raeford,28376, NC
141,Gerald,Hobbs,Sep.,"29,",1985,(212),451-0276,7185 Littleton Ave. ,Glendale Heights,60139, IL
142,Ainsley,Hurst,Nov.,"17,",2008,(698),450-5654,141 Harrison Dr. ,Brainerd,56401, MN
143,Conner,Finley,Nov.,"3,",1952,(519),536-1730,886 Blue Spring Street ,Stratford,6614, CT
144,Damarion,Bautista,Jan.,"31,",1922,(264),624-9595,4 S. Prospect Dr. ,Ocoee,34761, FL
145,Theodore,Daniel,Dec.,"16,",1994,(477),860-8494,8456 S. Mayfield Ave. ,Parkersburg,26101, WV
146,Nikolai,Diaz,Jul.,"1,",1965,(979),822-5444,9798 Pierce Dr. ,Fresno,93706, CA
147,Simeon,Norman,Mar.,"5,",2007,(437),826-6700,45 Monroe Street ,Crystal Lake,60014, IL
148,Amelia,Phelps,Nov.,"16,",1937,(407),410-7343,7593 North Young Dr. ,Bartlett,60103, IL
149,Rihanna,Peck,May,"17,",1974,(314),726-8207,69 Talbot Street ,Maplewood,7040, NJ
150,Trevin,Stanley,Feb.,"5,",1990,(231),479-7993,7362 Overlook Ave. ,Bloomington,47401, IN
151,Taniyah,Robinson,Feb.,"13,",1937,(320),847-7110,64 Atlantic St. ,Salisbury,21801, MD
152,Tyrell,Kaiser,Dec.,"19,",1908,(889),357-9924,7673 Winding Way Drive ,Dawsonville,30534, GA
153,Waylon,Grant,Sep.,"29,",1913,(399),793-4797,25 Grandrose Drive ,Newark,7103, NJ
154,Alaina,Duncan,Dec.,"2,",1944,(549),361-4930,7829 Poplar Street ,Largo,33771, FL
155,Axel,Lam,Mar.,"29,",1981,(787),948-1456,536 East Goldfield Avenue ,Dunedin,34698, FL
156,Kaiden,Delacruz,Apr.,"9,",1974,(352),788-6400,9 Johnson Street ,Smyrna,30080, GA
157,Raegan,Wheeler,Nov.,"28,",2008,(349),265-4138,2 Rockwell Court ,Kaukauna,54130, WI
158,Isabel,David,Apr.,"14,",1929,(693),920-0898,259 N. Boston Road ,Palatine,60067, IL
159,Jaydin,Luna,Jul.,"9,",1941,(655),376-0420,9771 Lantern St. ,Harleysville,19438, PA
160,Randall,Harrison,Sep.,"1,",1967,(763),692-8685,345 Second St. ,Anderson,29621, SC
161,Kade,Erickson,Mar.,"11,",2000,(853),402-9599,819 East George St. ,Berwyn,60402, IL
162,Abbigail,Vaughan,Nov.,"10,",2003,(960),380-6004,72 East St. ,Sun Prairie,53590, WI
163,Ruby,Deleon,Jan.,"31,",1960,(397),607-4860,576 South Columbia Street ,Huntsville,35803, AL
164,Rylie,Everett,Oct.,"25,",1973,(594),907-9675,8941 4th Dr. ,Buckeye,85326, AZ
165,Giselle,Heath,Jan.,"16,",1974,(345),282-2529,9027 Lafayette St. ,Homestead,33030, FL
166,Maci,Charles,Mar.,"11,",1924,(730),211-3147,9566 Rockcrest Ave. ,Madison,35758, AL
167,Shayna,Douglas,Oct.,"29,",2004,(522),977-5216,85 Windsor Lane ,Coraopolis,15108, PA
168,Tristian,Cabrera,May,"4,",1932,(704),823-5806,84 Division St. ,North Tonawanda,14120, NY
169,Miranda,Ingram,Oct.,"2,",1930,(327),683-4309,192 Sierra Ave. ,Waynesboro,17268, PA
170,Brody,Myers,May,"28,",1917,(221),584-4409,32 Foster Lane ,North Royalton,44133, OH
171,Khloe,Sanchez,May,"23,",1906,(686),926-8897,75 E. Cedar Swamp Ave. ,New Baltimore,48047, MI
172,Davis,Potter,Dec.,"6,",1978,(698),825-3075,68 Brewery St. ,Winter Park,32792, FL
173,Eliana,Garrett,Apr.,"23,",1938,(862),974-1781,8 E. Grandrose Drive ,Milledgeville,31061, GA
174,Aryanna,Gross,Jan.,"22,",1963,(597),608-3433,21 Poor House Dr. ,Moncks Corner,29461, SC
175,Mohammed,Cabrera,Aug.,"3,",1901,(584),701-3301,95 Smith St. ,Seattle,98144, WA
176,Holden,Arias,Jul.,"21,",1997,(701),523-0226,569 Vermont Street ,Des Moines,50310, IA
177,Brylee,Morton,Jun.,"8,",1957,(414),479-9551,958 Ocean Ave. ,Medina,44256, OH
178,Clinton,Carey,Jul.,"4,",1996,(741),903-6956,40 Campfire Street ,Plymouth,2360, MA
179,Armani,Novak,May,"5,",1951,(314),843-7419,36 Cottage St. ,South Windsor,6074, CT
180,Angelo,Walter,Jan.,"30,",1913,(819),529-5546,69 Glen Eagles Street ,Yorktown,23693, VA
181,Diya,Baxter,May,"9,",2013,(433),640-5634,1 Pawnee Street ,Stamford,6902, CT
182,Luca,Daugherty,Jul.,"2,",1945,(240),483-7437,481 Bayport Rd. ,Waterbury,6705, CT
183,Anaya,Nolan,Feb.,"13,",1967,(523),683-0678,9350 Lafayette Dr. ,Middle River,21220, MD
184,Claudia,Peck,Dec.,"4,",1980,(287),393-7170,904 Leeton Ridge Circle ,Ladson,29456, SC
185,Alessandro,Mcguire,Apr.,"13,",1906,(692),200-5473,608 Glen Eagles Ave. ,Knoxville,37918, TN
186,Jazmine,Silva,Nov.,"30,",2012,(300),873-0462,9352 Strawberry Drive ,Hoffman Estates,60169, IL
187,Bobby,Byrd,Apr.,"26,",1934,(366),809-0700,8 West Woodsman Ave. ,Macon,31204, GA
188,Owen,Mcguire,Aug.,"15,",1966,(678),834-6571,745 Border St. ,Glastonbury,6033, CT
189,Kevin,Bartlett,Nov.,"4,",1987,(998),891-6961,42 Summer Dr. ,Chelsea,2150, MA
190,Axel,Bolton,Jan.,"8,",2018,(315),491-7911,71 Cactus St. ,Owensboro,42301, KY
191,Jace,Moran,Oct.,"3,",1911,(921),849-5317,958 Argyle Circle ,Bowie,20715, MD
192,Naomi,Velazquez,Apr.,"26,",1954,(581),476-2331,696 Locust Ave. ,Middle Village,11379, NY
193,Atticus,Reilly,Sep.,"9,",1990,(435),957-9521,516 Amerige Lane ,Charlotte,28205, NC
194,Camryn,Guerrero,Apr.,"13,",1907,(383),310-5582,2 Fieldstone Street ,Waukesha,53186, WI
195,Hassan,Taylor,Jul.,"3,",1992,(674),497-5233,484 Westminster Lane ,Clifton,7011, NJ
196,Maverick,Wise,Jan.,"27,",1903,(572),679-0173,85 Orchard Drive ,Norman,73072, OK
197,Jayden,Hardy,Jul.,"20,",2013,(485),829-2819,947 N. Pulaski Street ,Nashua,3060, NH
198,Elizabeth,Nash,Nov.,"23,",1984,(887),327-8753,8883 SE. Galvin Ave. ,Cookeville,38501, TN
199,Neil,Gibbs,Nov.,"3,",1952,(489),436-1204,72 Pin Oak St. ,Simpsonville,29680, SC
200,Kash,Hicks,Mar.,"26,",1968,(549),741-4074,663 W. Jennings Ave. ,Bloomfield,7003, NJ
201,Ian,Decker,Jan.,"29,",1920,(808),974-4007,8767 Southampton Road ,Chicago Heights,60411, IL
202,Jaelynn,Henderson,Sep.,"22,",1920,(398),241-1747,8271 E. High St. ,Roselle,60172, IL
203,Weston,Walls,Jun.,"17,",2013,(528),737-2459,110 Sierra St. ,Bemidji,56601, MN
204,Kayla,Nelson,Aug.,"29,",1984,(912),357-1079,4 Walnut Ave. ,Scotch Plains,7076, NJ
205,Alvaro,Wallace,Oct.,"21,",1962,(858),736-5380,20 Cleveland Dr. ,Port Orange,32127, FL
206,Cedric,Mcneil,Jan.,"25,",1961,(329),793-6721,5 West St. ,Middleton,53562, WI
207,Misael,Nichols,Sep.,"16,",1929,(681),223-8479,87 East Smith Store Rd. ,Boca Raton,33428, FL
208,Audrina,Mcintyre,Jan.,"25,",1954,(913),522-2172,44 Maple St. ,Ambler,19002, PA
209,Perla,Wolf,Oct.,"31,",1982,(528),342-1421,6 Indian Spring St. ,Highland,46322, IN
210,Jaelynn,Villa,Jul.,"26,",1905,(790),659-3061,9723 Sunbeam Ave. ,Burlington,1803, MA
211,Tyson,Benitez,Nov.,"26,",1944,(907),698-2710,258 School St. ,Fort Wayne,46804, IN
212,Yahir,Buck,Feb.,"8,",1962,(493),871-1034,50 Ashley Ave. ,Banning,92220, CA
213,Isai,Harrell,Oct.,"19,",2011,(483),934-6099,84 Temple Ave. ,Des Plaines,60016, IL
214,Ben,Wu,Oct.,"12,",1925,(328),358-9602,207 College Rd. ,Yakima,98908, WA
215,Tatum,Carpenter,Jan.,"1,",2010,(882),962-0624,15 Oakland St. ,Downingtown,19335, PA
216,Nevaeh,Yates,Jan.,"22,",1920,(979),483-9464,4 E. Brickyard Lane ,Parlin,8859, NJ
217,Jazlene,Davila,Mar.,"26,",1929,(636),377-0775,81 Albany Circle ,Glendora,91740, CA
218,Cristofer,Moody,Dec.,"19,",1989,(401),665-8325,274 Summer Circle ,Riverview,33569, FL
219,Jon,Richmond,May,"24,",1996,(743),306-0804,27 Magnolia Street ,Griffin,30223, GA
220,Ishaan,Hays,May,"8,",1940,(425),721-7091,99 Jennings St. ,Jonesboro,30236, GA
221,Courtney,Larsen,Jun.,"22,",1972,(467),928-3760,836 Grand Rd. ,Fort Mill,29708, SC
222,Ayla,Bennett,Dec.,"20,",1967,(215),630-1364,8672 Riverview Lane ,Arlington Heights,60004, IL
223,Judah,Haynes,Oct.,"24,",1901,(680),484-7553,82 Gulf Court ,Macomb,48042, MI
224,Bruno,Rivera,Jun.,"21,",1967,(490),936-4559,63 10th Lane ,Glen Cove,11542, NY
225,Karen,Sampson,Jan.,"19,",1948,(879),636-5578,522 8th Court ,Woonsocket,2895, RI
226,Luca,Sullivan,Aug.,"15,",1972,(986),631-1542,24 Queen St. ,Cranston,2920, RI
227,Micaela,Mccarthy,Jan.,"26,",1934,(762),913-8092,770 Thomas Road ,Williamstown,8094, NJ
228,Liam,Robertson,Jul.,"3,",1996,(842),515-1860,12 SE. Manor Station St. ,Crofton,21114, MD
229,Rebecca,Drake,Aug.,"19,",1910,(263),660-4208,7439 Tailwater Lane ,Woburn,1801, MA
230,Taylor,Valentine,Feb.,"2,",1988,(285),872-1434,9522 N. Gregory Road ,Defiance,43512, OH
231,Krista,Miranda,May,"28,",1907,(667),513-3957,1 Poor House St. ,Stoughton,2072, MA
232,Kareem,Collier,Jul.,"1,",1948,(915),932-4432,8310 S. Indian Summer Ave. ,Greensboro,27405, NC
233,Rigoberto,Chaney,Oct.,"23,",1971,(497),656-1788,91 10th St. ,Bergenfield,7621, NJ
234,Annabelle,Clark,Oct.,"7,",2007,(967),961-6893,59 East Mountainview Ave. ,Nottingham,21236, MD
235,Lexi,Moss,Mar.,"18,",1946,(470),754-4909,706 Creekside Court ,Snohomish,98290, WA
236,Karli,Weaver,Jun.,"17,",1921,(472),844-0088,554 Newport St. ,Ypsilanti,48197, MI
237,Marley,Duke,Jul.,"2,",2008,(678),969-7661,1 Lake View Rd. ,Chandler,85224, AZ
238,Trinity,Davila,Apr.,"1,",2010,(656),867-6967,795 Clay St. ,Niles,49120, MI
239,Linda,Luna,Oct.,"20,",1999,(426),737-8470,14 Birchwood Lane ,South Bend,46614, IN
240,Alexus,Schaefer,Jul.,"8,",2009,(645),546-0246,865 Sleepy Hollow Street ,Plattsburgh,12901, NY
241,Krista,Ray,May,"29,",1908,(573),616-4487,737 Old Brickyard Ave. ,Butte,59701, MT
242,Milo,Nguyen,Oct.,"21,",1992,(802),699-6925,8357 10th Ave. ,Cordova,38016, TN
243,Amaris,Salazar,Jan.,"10,",1914,(823),232-7980,20 Winding Way Ave. ,Waxhaw,28173, NC
244,Patience,Clements,May,"4,",1918,(370),355-4632,91 Vine Street ,Hixson,37343, TN
245,Cesar,Bernard,Sep.,"20,",2004,(701),879-5373,685 Trout St. ,Lake Worth,33460, FL
246,Vaughn,Hudson,Jul.,"9,",1940,(829),307-7419,9216 Cedar Swamp Lane ,Madisonville,42431, KY
247,Trevin,Villarreal,Jun.,"22,",1991,(921),501-6287,62 Riverview Ave. ,Dearborn,48124, MI
248,Isaiah,Stephenson,Jan.,"23,",1996,(639),938-3357,2 Lexington Drive ,Murfreesboro,37128, TN
249,Ahmad,Cobb,Jul.,"29,",1941,(382),353-0638,87 East Cedar Swamp Court ,Coram,11727, NY
250,Deven,Curtis,Oct.,"21,",1909,(562),502-7110,245 Essex Street ,Salem,1970, MA
251,Payton,Long,Nov.,"11,",1919,(929),970-5282,83 Fairview Road ,Chesapeake,23320, VA
252,Haley,Lozano,May,"9,",1900,(920),806-9332,478 Sage St. ,Asheville,28803, NC
253,Alexus,Hamilton,Mar.,"22,",1907,(220),460-7462,73 Elizabeth Rd. ,La Porte,46350, IN
